Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
sample,Failure,1,1,2017-04-06 15:34:41 +0900,2017-04-06 15:34:41 +0900,0:00:00
RegistNew_Issue_cardInfoEdit,Success,1,0,2017-04-25 16:11:33 +0900,2017-04-25 16:11:33 +0900,0:03:00
ChangeMail_check,Success,1,0,2017-04-17 12:31:21 +0900,2017-04-17 12:31:21 +0900,0:00:14
SearchPassword_New_check,Success,16,3,2017-03-29 17:32:33 +0900,2017-04-07 11:08:07 +0900,0:00:22
SearchPassword,Success,19,6,2017-03-27 17:26:17 +0900,2017-04-25 14:33:53 +0900,0:02:15
UserInfoEdit,Failure,6,1,2017-04-13 16:44:47 +0900,2017-05-09 10:34:18 +0900,0:03:02
ShopMaga,Success,3,0,2017-04-19 15:14:47 +0900,2017-04-25 14:46:01 +0900,0:02:29
ShopMaga_registShopMaga_address,Success,1,0,2017-05-08 17:20:31 +0900,2017-05-08 17:20:31 +0900,0:01:09
Top_Issue_cardInfoEdit,Success,1,0,2017-04-25 16:30:42 +0900,2017-04-25 16:30:42 +0900,0:03:23
Browser_Open,Success,20,5,2017-03-23 10:37:36 +0900,2017-05-08 11:43:44 +0900,0:00:06
passwordEdit_success,Success,6,2,2017-03-31 12:55:17 +0900,2017-04-06 11:45:04 +0900,0:00:14
Login_default,Success,5,0,2017-04-03 14:59:18 +0900,2017-05-08 11:44:18 +0900,0:00:10
Browser_cookie_ON,Failure,1,1,2017-04-24 12:34:32 +0900,2017-04-24 12:34:32 +0900,0:00:00
RegistNew_Inputcheck,Success,7,0,2017-03-29 15:54:54 +0900,2017-05-08 15:51:31 +0900,0:00:56
ChangeMail_Password_check,Success,1,0,2017-04-17 12:36:03 +0900,2017-04-17 12:36:03 +0900,0:00:16
RegistNew_Issue_cardInfoNew,Success,3,1,2017-04-21 11:10:53 +0900,2017-04-25 16:03:22 +0900,0:02:06
UserInfoEdit_Inputcheck,Success,28,11,2017-03-24 15:46:37 +0900,2017-03-29 19:23:59 +0900,0:00:47
passwordEdit_check,Success,4,3,2017-04-04 19:13:04 +0900,2017-04-04 19:16:59 +0900,0:01:13
ShopMaga_registShopMaga_Postcode,Success,1,0,2017-04-17 15:41:57 +0900,2017-04-17 15:41:57 +0900,0:00:43
passwordEdit,Success,9,0,2017-03-27 17:02:13 +0900,2017-04-25 14:48:52 +0900,0:01:18
RegistNew,Success,16,5,2017-03-22 19:17:29 +0900,2017-04-25 14:26:55 +0900,0:02:48
Login_success_chg,Success,4,0,2017-04-17 15:40:30 +0900,2017-05-08 17:27:21 +0900,0:00:09
UserInfoDelete,Success,6,1,2017-03-31 16:06:46 +0900,2017-04-25 15:56:13 +0900,0:00:14
SearchPassword_check,Success,7,0,2017-03-29 16:50:34 +0900,2017-04-07 10:57:57 +0900,0:00:15
Login_check2,Failure,5,4,2017-04-24 12:37:13 +0900,2017-04-25 10:59:23 +0900,0:02:56
ShopMaga_noShopMaga,Success,1,0,2017-04-17 15:15:52 +0900,2017-04-17 15:15:52 +0900,0:00:02
Session_error_1,Success,4,0,2017-04-03 12:55:47 +0900,2017-05-08 17:30:29 +0900,0:00:02
Session_error_2,Success,5,0,2017-04-03 14:58:21 +0900,2017-04-25 15:57:08 +0900,0:00:39
Top_cardinfo,Success,9,3,2017-04-05 15:20:37 +0900,2017-04-25 16:00:17 +0900,0:00:38
Top_Screen_check,Success,9,1,2017-04-13 15:55:35 +0900,2017-05-08 16:50:23 +0900,0:01:06
Top_Issue_cardInfoNew,Success,1,0,2017-04-25 16:15:07 +0900,2017-04-25 16:15:07 +0900,0:01:39
Session_error,Success,1,0,2017-04-19 15:20:59 +0900,2017-04-19 15:20:59 +0900,0:00:21
RegistNew_passwordInsert_check,Success,9,0,2017-04-05 11:17:08 +0900,2017-04-07 10:44:23 +0900,0:00:23
Login_failure,Success,5,2,2017-04-19 16:32:23 +0900,2017-04-21 10:30:12 +0900,0:00:08
RegistNew_Required,Success,4,0,2017-03-29 15:34:46 +0900,2017-04-10 15:52:23 +0900,0:00:12
