Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
UserInfoEdit_2,Success,2,0,2017-04-21 16:49:50 +0900,2017-04-25 18:09:11 +0900,0:02:51
RegistNew_Issue_cardInfoEdit,Success,1,0,2017-04-25 18:34:59 +0900,2017-04-25 18:34:59 +0900,0:08:41
ChangeMail_check,Success,3,2,2017-04-17 11:09:21 +0900,2017-04-17 11:46:47 +0900,0:00:43
passwordEdit_1,Failure,2,1,2017-04-25 18:19:12 +0900,2017-05-11 11:44:38 +0900,0:03:39
Top_Issue_cardInfoEdit,Success,1,0,2017-04-25 18:49:16 +0900,2017-04-25 18:49:16 +0900,0:08:15
passwordEdit_2,Success,2,0,2017-04-25 18:23:00 +0900,2017-05-11 11:53:39 +0900,0:01:35
SearchPassword,Failure,5,5,2017-04-11 11:09:30 +0900,2017-04-21 15:57:24 +0900,0:00:00
UserInfoEdit,Failure,2,2,2017-04-11 12:29:55 +0900,2017-04-12 01:25:51 +0900,0:00:00
ShopMaga,Success,2,0,2017-04-17 18:03:59 +0900,2017-04-18 10:30:49 +0900,0:05:02
ShopMaga_registShopMaga_address,Success,2,0,2017-04-17 16:16:09 +0900,2017-04-25 18:16:56 +0900,0:02:00
Browser_Open,Success,22,2,2017-04-06 16:10:28 +0900,2017-04-19 18:56:47 +0900,0:00:15
passwordEdit_success,Failure,1,1,2017-04-11 19:08:56 +0900,2017-04-11 19:08:56 +0900,0:00:00
Login_default,Success,6,5,2017-04-10 16:46:23 +0900,2017-05-11 14:35:58 +0900,0:00:21
RegistNew_Inputcheck,Success,18,5,2017-04-10 16:01:24 +0900,2017-04-19 18:43:34 +0900,0:04:59
ChangeMail_Password_check,Success,1,0,2017-04-17 12:02:48 +0900,2017-04-17 12:02:48 +0900,0:01:08
Common_Input_Keybord,Success,1,0,2017-04-20 12:50:01 +0900,2017-04-20 12:50:01 +0900,0:00:02
RegistNew_Issue_cardInfoNew,Success,1,0,2017-04-25 18:30:32 +0900,2017-04-25 18:30:32 +0900,0:03:17
UserInfoEdit_Inputcheck,Success,11,3,2017-04-11 14:01:57 +0900,2017-04-20 13:17:17 +0900,0:04:26
passwordEdit_check,Success,6,2,2017-04-11 18:56:19 +0900,2017-05-11 11:48:30 +0900,0:02:21
ShopMaga_registShopMaga_Postcode,Success,2,0,2017-04-25 18:14:34 +0900,2017-05-11 11:20:40 +0900,0:01:52
passwordEdit,Success,5,3,2017-04-11 19:18:03 +0900,2017-04-21 16:36:29 +0900,0:05:20
SearchPassword_1,Success,1,0,2017-04-25 17:43:08 +0900,2017-04-25 17:43:08 +0900,0:04:20
RegistNew,Failure,4,1,2017-04-06 14:17:57 +0900,2017-04-17 16:22:28 +0900,0:04:41
Login_success_chg,Success,2,0,2017-04-18 12:14:08 +0900,2017-04-19 12:05:41 +0900,0:00:25
SearchPassword_2,Success,1,0,2017-04-25 17:47:38 +0900,2017-04-25 17:47:38 +0900,0:05:55
UserInfoDelete,Success,2,0,2017-04-25 18:24:49 +0900,2017-05-11 12:04:51 +0900,0:00:15
SearchPassword_check,Success,16,8,2017-04-10 18:50:23 +0900,2017-05-09 11:51:04 +0900,0:01:17
Login_check2,Failure,3,3,2017-04-24 18:06:31 +0900,2017-04-24 18:13:51 +0900,0:00:00
ShopMaga_noShopMaga,Success,2,0,2017-04-25 18:12:46 +0900,2017-05-11 10:51:43 +0900,0:00:09
Session_error_1,Success,2,0,2017-04-25 18:25:24 +0900,2017-05-11 12:05:19 +0900,0:00:04
Session_error_2,Failure,4,2,2017-04-14 18:13:12 +0900,2017-05-11 12:05:36 +0900,0:00:51
Top_cardinfo,Success,7,4,2017-04-14 14:11:21 +0900,2017-04-25 19:01:50 +0900,0:01:25
SearchPassword_PassNew_check,Success,15,10,2017-04-10 19:12:00 +0900,2017-04-17 17:07:39 +0900,0:02:53
Top_Screen_check,Success,14,6,2017-04-11 12:16:12 +0900,2017-04-25 17:57:08 +0900,0:01:51
Top_Issue_cardInfoNew,Success,1,0,2017-04-25 18:43:55 +0900,2017-04-25 18:43:55 +0900,0:04:04
RegistNew_passwordInsert_check,Success,21,6,2017-04-10 15:02:27 +0900,2017-05-09 11:14:16 +0900,0:02:55
RegistNew_1,Success,3,0,2017-04-21 15:21:32 +0900,2017-05-09 10:55:17 +0900,0:03:57
Login_failure,Success,1,0,2017-04-18 12:03:31 +0900,2017-04-18 12:03:31 +0900,0:00:17
RegistNew_Required,Success,2,1,2017-04-10 15:27:02 +0900,2017-04-17 16:40:38 +0900,0:00:18
Login_success_old,Success,7,2,2017-04-10 14:26:49 +0900,2017-04-25 12:27:20 +0900,0:00:29
Browser_Close,Success,2,0,2017-04-24 17:45:54 +0900,2017-04-24 17:49:08 +0900,0:00:02
ChangeMail,Failure,1,1,2017-04-25 19:07:02 +0900,2017-04-25 19:07:02 +0900,0:00:00
RegistNew_success,Success,4,3,2017-04-10 16:54:22 +0900,2017-04-19 18:22:55 +0900,0:03:44
CardnumberInsertcheck,Success,3,2,2017-04-13 20:22:54 +0900,2017-04-14 10:56:20 +0900,0:02:54
RegistNew_2,Success,5,4,2017-04-20 14:10:11 +0900,2017-04-25 17:21:42 +0900,0:00:48
Main,Failure,1,1,2017-04-12 19:59:41 +0900,2017-04-12 19:59:41 +0900,0:00:00
RegistNew_Screen_check,Success,3,1,2017-04-10 16:48:07 +0900,2017-05-09 12:21:47 +0900,0:00:19
UserInfoEdit_success,Success,6,1,2017-04-12 01:36:28 +0900,2017-05-09 12:56:15 +0900,0:02:22
RegistNew_3,Success,1,0,2017-04-25 17:32:18 +0900,2017-04-25 17:32:18 +0900,0:10:06
Login_success,Success,13,3,2017-04-10 14:08:36 +0900,2017-05-09 12:30:16 +0900,0:00:25
ShopMaga_category,Success,2,0,2017-05-11 11:10:54 +0900,2017-05-11 11:40:36 +0900,0:01:29
Login_check,Success,4,1,2017-04-13 17:47:16 +0900,2017-04-25 12:44:58 +0900,0:01:57
Logout,Success,5,1,2017-04-13 17:33:41 +0900,2017-04-25 17:42:43 +0900,0:00:07
UserInfoEdit_Required,Failure,3,2,2017-04-11 12:49:35 +0900,2017-04-19 19:59:33 +0900,0:00:59
UserInfoEdit_1,Success,3,0,2017-04-21 16:42:52 +0900,2017-05-09 12:44:25 +0900,0:06:10
ShopMaga_registShopMaga_erea,Success,2,0,2017-04-25 18:13:12 +0900,2017-05-11 11:17:38 +0900,0:01:11
Login,Success,3,1,2017-04-17 17:17:13 +0900,2017-04-25 17:54:30 +0900,0:01:20
