Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
ChangeMail_check,Failure,1,1,2017-05-12 17:58:22 +0900,2017-05-12 17:58:22 +0900,0:00:00
Browser_startup,Success,2,0,2017-05-12 14:56:15 +0900,2017-05-12 15:38:49 +0900,0:00:04
Browser_Open,Success,4,1,2017-04-25 11:22:52 +0900,2017-05-12 17:09:17 +0900,0:00:08
Login_default,Success,9,0,2017-04-24 15:02:22 +0900,2017-04-24 16:40:43 +0900,0:00:08
RegistNew,Success,1,0,2017-05-12 16:03:51 +0900,2017-05-12 16:03:51 +0900,0:05:33
Login_success_chg,Success,1,0,2017-05-12 14:39:31 +0900,2017-05-12 14:39:31 +0900,0:00:13
Login_check2,Failure,2,2,2017-04-24 16:06:59 +0900,2017-04-25 11:25:22 +0900,0:00:00
UserInfoDelete,Failure,1,1,2017-05-12 17:03:30 +0900,2017-05-12 17:03:30 +0900,0:00:00
Session_error_1,Success,1,0,2017-05-12 14:43:22 +0900,2017-05-12 14:43:22 +0900,0:00:02
Session_error_2,Success,6,4,2017-05-12 14:48:42 +0900,2017-05-12 17:18:27 +0900,0:00:52
Login_check3-1,Success,2,1,2017-04-24 16:39:10 +0900,2017-04-24 16:46:45 +0900,0:01:48
Login_success_old,Failure,1,1,2017-05-12 17:26:05 +0900,2017-05-12 17:26:05 +0900,0:00:00
Login_success,Success,1,0,2017-05-12 16:30:32 +0900,2017-05-12 16:30:32 +0900,0:00:11
Login_check,Success,1,0,2017-04-25 12:33:41 +0900,2017-04-25 12:33:41 +0900,0:00:38
Logout,Success,4,0,2017-04-24 15:27:20 +0900,2017-05-12 17:18:22 +0900,0:00:01
